country	year	pop	continent	lifeExp	gdpPercap
Afghanistan	1952	8425333	Asia	28.801	779.4453145
Afghanistan	1957	9240934	Asia	30.332	820.8530296
Afghanistan	1962	10267083	Asia	31.997	853.10071
Afghanistan	1967	11537966	Asia	34.02	836.1971382
Afghanistan	1972	13079460	Asia	36.088	739.9811058
Afghanistan	1977	14880372	Asia	38.438	786.11336
Afghanistan	1982	12881816	Asia	39.854	978.0114388
Afghanistan	1987	13867957	Asia	40.822	852.3959448
Afghanistan	1992	16317921	Asia	41.674	649.3413952
Lesotho	1957	813338	Africa	45.047	335.9971151
Eritrea	1957	1542611	Africa	38.047	344.1618859
Myanmar	1957	21731844	Asia	41.905	350
Ethiopia	1957	22815614	Africa	36.667	378.9041632
Burundi	1957	2667518	Africa	40.533	379.5646281
Malawi	1957	3221238	Africa	37.207	416.3698064
Equatorial-Guinea	1957	232922	Africa	35.983	426.0964081
Guinea-Bissau	1957	601095	Africa	33.489	431.7904566
Cambodia	1957	5322536	Asia	41.366	434.0383364
Mali	1957	4241884	Africa	35.307	490.3821867
