country	year	pop	continent	lifeExp	gdpPercap
Afghanistan	1952	8425333	Asia	28.801	779.4453145
Afghanistan	1957	9240934	Asia	30.332	820.8530296
Afghanistan	1962	10267083	Asia	31.997	853.10071
Afghanistan	1967	11537966	Asia	34.02	836.1971382
Afghanistan	1972	13079460	Asia	36.088	739.9811058
Afghanistan	1977	14880372	Asia	38.438	786.11336
Afghanistan	1982	12881816	Asia	39.854	978.0114388
Afghanistan	1987	13867957	Asia	40.822	852.3959448
Afghanistan	1992	16317921	Asia	41.674	649.3413952
Kuwait	1992	1418095	Asia	75.19	34932.91959
Norway	1992	4286357	Europe	77.32	33965.66115
United-States	1992	256894189	Americas	76.09	32003.93224
Switzerland	1992	6995447	Europe	78.03	31871.5303
Austria	1992	7914969	Europe	76.04	27042.01868
Japan	1992	124329269	Asia	79.36	26824.89511
Netherlands	1992	15174244	Europe	77.42	26790.94961
Germany	1992	80597764	Europe	76.07	26505.30317
Denmark	1992	5171393	Europe	75.33	26406.73985
Canada	1992	28523502	Americas	77.95	26342.88426
